id,binary_label,technique_label,plot_label,cluster_id,text,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
85514414,1,unlabeled_manipulative,unlabeled_manipulative,4,"Person1: Jesus! Listen to this one: ""Do you remember me? Airport shuttle, June 7th. You: striking redhead with yellow dress, pearl necklace, brown shoes. I was the bookish fellow in the green cardigan who helped you find your contact lens. Am I crazy, or did we have a moment?"" Person2: God, that's so pathetic. I bet she didn't even notice him. Person1: I know. And he's like psychotically obsessing over every little detail. Person2: We should call him and pretend to be the redhead. Person1: Oh, we totally have to.",0.07865473628044128,0.6029115319252014,0.015689808875322342,0.004593046847730875,0.03529176115989685,0.02984962798655033,0.23300950229167938
85514415,1,Rationalization,Rationalization,5,"Person1: I don't know. Person2: Don't go. Person1: I have to... he's a G-34 Person2: You don't have to... I don't trust him. You ought to file a report. Person1: No, don't make trouble. It's nothing.",0.09956758469343185,0.05020953714847565,0.6718763113021851,0.003251815913245082,0.10515181720256805,0.060220569372177124,0.009722365066409111
85514416,1,Persuasion or Seduction|Accusation,Persuasion or Seduction,0,"Person1: You're mine, you know. I made you. Person2: I know. Person1: If you went away, what would become of me? Person2: I'm grown up now. I have to leave some time. Person1: Of course you do, and I want you to... but there's no need to hurry it along, is there? Person2: I can't help it. Person1: That's twice this month you've slipped Deadly Night Shade into my tea and run off. People might get the wrong idea and think you're unhappy at home.",0.2002541720867157,0.11828617006540298,0.02822587639093399,0.011219177395105362,0.15769286453723907,0.43440553545951843,0.04991627484560013
85514417,1,Shaming or Belittlement|Intimidation,Shaming or Belittlement,5,"Person1: All right. Tell 'em to shoot to kill. Person2: What? Person1: Shoot to kill, I said. Person2: I don't know, Fred. There's that reprieve if they ever find out. Person1: Nobody reprieved that policeman he murdered. Now, do as I tell you. Person2: Hello, Olsen... Listen... Shoot to kill... That's the orders pass the word along... No! We dont want him! And listen, Olsen, five- hundred bucks for the guy that does the job... Yes, I'll be right out there. Well, I hope that's the right thing to do. Person1: Now take that guilty look off your face, Pete -- and stop trembling like a horse. Person2: If we didn't have election Tuesday I'd have this on my conscience.",0.06116391718387604,0.02001693844795227,0.8639618158340454,0.0039048800244927406,0.03560176491737366,0.011661560274660587,0.0036891100462526083
85514418,1,Persuasion or Seduction,Persuasion or Seduction,6,"Person1: You're alive! She didn't kill you! Person2: Who didn't? Person1: That woman who's after me. She hates you. Because she knows I love you. Person2: You love me? Person1: My angel. My goddess. I feel I've always loved you all my life. I'll die if I can't spend the rest of my life just looking at you, holding you in my arms... Person2: We have to have a long talk about all this. Person1: I know just the place. Hang a left at the Amalgamated Tower.",0.3243381679058075,0.15668803453445435,0.015732018277049065,0.15783312916755676,0.24227233231067657,0.0388847216963768,0.06425157934427261
85514419,1,Persuasion or Seduction,Persuasion or Seduction,5,Person1: I like you so much. I think you're beautiful. I think if we were together you would love it. You wouldn't believe it. Person2: How do you know? Person1: I just know. I know you'll love it. Person2: But I'm scared Telly. Person1: I'm telling you. There's nothing in the world to worry about. Person2: Nothing?,0.010352379642426968,0.002629523165524006,0.9424843192100525,0.003997698426246643,0.02245379611849785,0.004310912452638149,0.013771365396678448
85514420,0,none,none,6,"Person1: Pearl, shut up! Pearl, you swore! Person2: You could save him, little bird.",0.8205527067184448,0.06684335321187973,0.013038691133260727,0.007708856835961342,0.052200671285390854,0.02130006067454815,0.018355537205934525
85514421,1,Playing Victim Role,Playing Victim Role,4,"Person1: You think I'm a fake. Person2: I think it's what you think. Person1: No, it isn't what I think. Person2: Look... You made a very calculated move, and then made me feel embarrassed for responding to you. That wasn't necessary.",0.034116365015506744,0.6225137710571289,0.02061494067311287,0.0038827250245958567,0.15868468582630157,0.11056176573038101,0.04962572455406189
85514422,1,Playing Servant Role|Persuasion or Seduction,Playing Servant Role,0,"Person1: He's dead. Person2: We bury the body. We disappear into the woods. Nobody knows. Person1: No. This is the end of the road. There's a dead human being here. For all of his faults, he was a human being, and certainly a victim of his culture as much as anybody. Person2: Forget him, Lila. We'll disappear. We'll never talk about it again. We'll never talk again period. I love you. Person1: Puff, what happened to you is as much my fault as Nathan's. Maybe more so, because I knew it was wrong and I went along with it anyway. I'm taking responsibility for the murder. I want you to go back to your old life. Person2: I won't let you do that. I shot the bastard. And I'm glad. Person1: No. Go back to the woods. This is a sacrifice I need to make. In my world we have something called penance. It's another abstraction, but I had the concept drummed into my head during my years in the convent. It doesn't exist for you, and it shouldn't. See, I could never be free again anyway, so I might as well be in jail. Person2: Then I'll live for both of us, Lila. I'll be the most free, truest animal in the whole forest. For both of us. Person1: That's what I'm counting on. Person2: But first I'll live among them, just long enough to testify before congress about the waywardness of humankind. Person1: Okay. If you think it will help.",0.2193950116634369,0.2039170116186142,0.01537214033305645,0.01409516204148531,0.27378231287002563,0.26982972025871277,0.003608559025451541
85514423,0,none,none,6,"Person1: No, don't Jack, don't. Person2: Who sent you, Thorpey? Person1: Brumby!",0.3770018517971039,0.05263172462582588,0.19178201258182526,0.022646702826023102,0.15903958678245544,0.03568324074149132,0.16121487319469452
